Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
whispers-of-the-ring,"""Whispers of the Ring""","<p>Step into a world of myth and shadow with ""Whispers of the Ring"" — a large 120 x 100 cm textured abstract painting on canvas.</p>
<p>With deep black and rich gold hues layered in sculptural textures, this captivating piece evokes ancient relics, whispered legends, and timeless journeys.</p>
<p>Inspired by the epic world of J.R.R. Tolkien’s Lord of the Rings, it will resonate with fantasy lovers and collectors alike — while offering a sophisticated, modern aesthetic suitable for any luxury space or contemporary interior.</p>
<p style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;"" class=""MsoNormal""><b><span style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US"">Medium:</span></b><span style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US""> Acrylic on canvas</span></p>
<p style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;"" class=""MsoNormal""><b><span style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US"">Size:</span></b><span style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US""> 120 x 100 cm</span></p>
<p style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;"" class=""MsoNormal""><b><span style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US"">Finish:</span></b><span style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"" lang=""EN-US""> Ready to hang</span></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,1200.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whispersofthering3.jpg?v=1749636551,1,"",false,,,brown; black; gold,unframed,art,,kg,,,active
whispers-of-the-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whispersofthering1.jpg?v=1749636551,2,"",,,,,,,,,,,
whispers-of-the-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whispersofthering2.jpg?v=1749636551,3,"",,,,,,,,,,,
whispers-of-the-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/WhispersoftheRing.jpg?v=1749636551,4,"",,,,,,,,,,,
mordor-veil,"""Mordor Veil""","<p>Enter the heart of darkness with <em><strong>Mordor Veil</strong></em>, a 100 x 100 cm abstract painting channeling the ominous atmosphere of Tolkien’s most feared realm. Thick textures and smoky greys unfold like a cursed fog over barren lands, evoking the veil that shields Mordor from the light of the world.<br></p>
<p>Ideal for fans of The Lord of the Rings, dark fantasy aesthetics, and striking modern interiors, this one-of-a-kind artwork adds mystery, depth, and storytelling to any space.</p>
<p>Original artwork, one of a kind<br></p>
<p>Dimensions: 100 x 100 cm<br></p>
<p>Medium: Acrylic and mixed media on canvas<br></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,650.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/mordorveil2.jpg?v=1748952832,1,"",false,,,black; gray,modern; unframed,lord-of-the-rings,,kg,,,active
mordor-veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/mordor_veil1.jpg?v=1748952832,2,"",,,,,,,,,,,
mordor-veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/MordorVeil.jpg?v=1748952832,3,"",,,,,,,,,,,
mordor-veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/mordorveil3.jpg?v=1748952832,4,"",,,,,,,,,,,
harmony-art-print,"""Harmony"" Art Print","<p>A lively abstract in layered textures and muted tones, this piece balances soft sky-blues, warm ivories, and cool grays with unexpected bursts of fiery red and golden yellow. Thick impasto brushstrokes and gently scraped-back areas create a sense of depth and movement, inviting your eye to wander through its organic forms. The result is an energetic yet contemplative composition, perfect for adding both warmth and dynamic contrast to any room.</p>
<p>Printed on high-quality paper and delivered unframed.</p>
<p>Available in A5, A4 and A3 dimensions.</p>
<p>Unframed.</p>",IrenArtStudio,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","",true,Size,A5 (148 x 210 mm),,,,,,,,,0.0,,0,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Harmony_print.jpg?v=1760685004,1,"",false,,,,unframed,art,,kg,,,active
harmony-art-print,,,,,,,,,A4 (210 x 297 mm),,,,,,,,"",0.0,,0,deny,manual,25.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/harmony_a3_a4.jpg?v=1760685004,2,"",,,,,,,,kg,,,
